Chromosome,R2 Score,IQS Score,Accuracy,AUC ROC
1,0.7333050966262817,0.8777819911533569,0.9491018056869507,0.9823270791495466
2,0.696327269077301,0.8752444982734164,0.937886118888855,0.9802876236712633
3,0.7806007862091064,0.9317265122223164,0.9739271402359009,0.9922104331440271
4,0.8243269324302673,0.9178749016224667,0.9621665477752686,0.9876423975886247
5,0.8041651248931885,0.9009051745922445,0.9589350819587708,0.9869328542389175
6,0.6861257553100586,0.8065727634707964,0.9109780192375183,0.9701662643916749
7,0.7259135246276855,0.849010409235994,0.9424009323120117,0.9778386687502174
8,0.8007088899612427,0.9001073470148246,0.9533789753913879,0.9884456688566033
9,0.6883488893508911,0.8528899771009,0.9325634241104126,0.9764193366002423
10,0.757488489151001,0.8874094440700844,0.946107804775238,0.9871951838472284
11,0.8426240682601929,0.9556891134513371,0.9788318276405334,0.9953882823473804
12,0.6648297309875488,0.8171971772746561,0.9305506348609924,0.9695935782376146
13,0.4278639853000641,0.8917672516530574,0.9516966342926025,0.9898234309810134
14,0.8421405553817749,0.9297740765171504,0.9660678505897522,0.9930275135282339
15,0.5259875655174255,0.8474384721048939,0.9384089112281799,0.9777532210781223
16,0.7533478140830994,0.8886624038719081,0.9481037855148315,0.9871469058556821
17,0.6318933963775635,0.9148756492738096,0.978487491607666,0.9908573780463361
18,0.7541677951812744,0.8444184461345914,0.9254823923110962,0.9802498422079787
19,0.8732553720474243,0.9448530170545621,0.9749073386192322,0.9933234249306859
20,0.5681171417236328,0.8855210220877604,0.9428642988204956,0.9910251052028141
21,0.6329668164253235,0.8325837122949612,0.9598303437232971,0.9841214513186531
22,0.6136250495910645,0.9028664151227478,0.9625294804573059,0.990328380440643
