Chromosome,Accuracy,Precision,Recall,False Positive Rate,AUC ROC,R2 Score,IQS Score
1,0.9158682823181152,0.9122961657117673,0.9029443838604144,0.07322907083716651,0.9700678284755196,0.6382178958802183,0.830380931344003
2,0.9024304151535034,0.9273069679849341,0.9171167815235611,0.12261753494282084,0.9665439308392595,0.5848048375215802,0.7914312445801461
3,0.9436511397361755,0.9303599374021909,0.9263731982859369,0.0451089711099848,0.9820492010272689,0.7107985255506063,0.8819245791076141
4,0.928742527961731,0.9318439984854222,0.9329037149355572,0.07588532883642496,0.9731903480970178,0.682123784085518,0.8570730374942244
5,0.9324314594268799,0.928726422967785,0.9195174351346885,0.05711610486891386,0.9779808028228757,0.6729073350666048,0.863217085184166
6,0.9039698243141174,0.9089995982322218,0.9163628999594978,0.11102941176470588,0.9710584284341521,0.5896119822718576,0.8060200060805132
7,0.9188895225524902,0.9056356487549148,0.8997395833333334,0.06735266604303088,0.9726431222499394,0.6537269847220425,0.8331505615128264
8,0.9044767618179321,0.9140461215932913,0.9107049608355091,0.10301507537688442,0.968507764015902,0.6200909531391477,0.807390491966632
9,0.9094311594963074,0.9289894654701522,0.929352068696331,0.12586445366528354,0.9676767210523418,0.5522786852714662,0.8036086557198602
10,0.9319822192192078,0.9319175515302935,0.9298846992832658,0.06598062953995157,0.9827309239978058,0.6621138982846554,0.8639311629889014
11,0.9517435431480408,0.9594813614262561,0.9573478876086517,0.056022408963585436,0.9892773199839872,0.7130305607742349,0.9009391277239683
12,0.929413914680481,0.9154545454545454,0.9084348218313035,0.056466302367941715,0.9765106470150209,0.6343443014809663,0.8530378541259934
13,0.9276447296142578,0.9304666056724611,0.93646408839779,0.08278867102396514,0.9848367216745507,0.4780606905899131,0.8541792123328918
14,0.9540917873382568,0.9668508287292817,0.9607843137254902,0.05761316872427984,0.9934188654885822,0.8172865925777663,0.9010539263829362
15,0.9497005939483643,0.9511545293072824,0.9378283712784589,0.04035216434336023,0.9900227812091644,0.5993225635027135,0.8984967628819034
16,0.9413899183273315,0.9407591344448386,0.9444444444444444,0.06178320384757677,0.9853717195097144,0.6617701975088396,0.8827284045022256
17,0.9583689570426941,0.8278481012658228,0.8074074074074075,0.02192134107027724,0.9801076167506427,0.5606810976655714,0.7940088105726872
18,0.9278585910797119,0.9380053908355795,0.9265175718849841,0.07059545733578883,0.9769867700118525,0.7269762619051902,0.8551217120264992
19,0.9663529992103577,0.9693251533742331,0.9650194336479734,0.03223915592028136,0.9918415130841077,0.8277741358382337,0.9326649280188071
20,0.9201596975326538,0.9475043029259896,0.9491379310344827,0.17784256559766765,0.9760128682014677,0.33949910138663264,0.7728823889407977
21,0.9454424381256104,0.9072164948453608,0.8844221105527639,0.03257918552036199,0.9842538484276587,0.6305510706721718,0.8587454585047736
22,0.9261476993560791,0.9095808383233533,0.9128605769230769,0.064419795221843,0.9761726697870177,0.5213823131091797,0.8479972612119139
