Chromosome,R2 Score,IQS Score,Accuracy Score,AUC Score
1,0.3158370852470398,0.6742626095721423,0.7997339,0.7657937638545305
2,0.5919281840324402,0.7743014763782416,0.8459272,0.8359364968153739
3,0.5202795267105103,0.8289345753994524,0.9025699,0.8732548485631528
4,0.7156686186790466,0.8496908503999845,0.89838505,0.9008387923240662
5,0.45299428701400757,0.7221391457472671,0.81619114,0.8335009960844966
6,0.6061244606971741,0.748084323870034,0.83952093,0.8509488763480351
7,0.5033414959907532,0.6804086097512891,0.82292557,0.7821193933486938
8,0.45981642603874207,0.6875278783971398,0.7998289,0.7781886775647441
9,0.5130719542503357,0.7040360892774802,0.8116624,0.7832080125808716
10,0.5694103240966797,0.7622012300643455,0.8440896,0.8352134975622285
11,0.672726571559906,0.9083502397752794,0.93402666,0.8927176254136222
12,0.5350977778434753,0.718984714443444,0.84348947,0.8204697370529175
13,0.6195948719978333,0.8642805763818062,0.9193613,0.8140773819043086
14,0.47780343890190125,0.6944912084883879,0.8021457,0.7460243105888367
15,0.4539020359516144,0.7775575016649888,0.8722555,0.7673298747915971
16,0.6583847403526306,0.7915279949047535,0.86669517,0.8525173664093018
17,0.41574686765670776,0.6455764793800418,0.8620537,0.7651732861995697
18,0.7058311104774475,0.7623116326507224,0.8412065,0.8572566509246826
19,0.8626177906990051,0.9087773082618079,0.9426861,0.9498371839523315
20,0.3046388328075409,0.8188302835967052,0.8792415,0.6811462044715881
21,0.46953654289245605,0.7290726291509859,0.9011976,0.699155330657959
22,0.5045514702796936,0.791595814878985,0.8856832,0.8226272920767467
