Chromosome,Accuracy,Precision,Recall,False Positive Rate,AUC ROC,R2 Score,IQS Score
1,0.8817697763442993,0.8704459561602419,0.8622342018568434,0.10261015325670499,0.9526798157213197,0.4210580610581675,0.7603428991370991
2,0.9028609395027161,0.9236767131503973,0.9231230331185374,0.13227650727650728,0.9662617420934521,0.5428482630600776,0.7906725500104075
3,0.9215319156646729,0.9095846645367412,0.8916379580331977,0.058677171884719055,0.9756694209595308,0.6024159444883354,0.8357472726640152
4,0.9361277222633362,0.9475057059015325,0.9383274136260897,0.06669428334714167,0.9808167510638486,0.7150168900089979,0.8704403169319097
5,0.8952096104621887,0.886053336735996,0.8861664114344053,0.09708632311372037,0.9589732245874079,0.5671507585420732,0.7890726328295097
6,0.8891217708587646,0.8979101165156279,0.8967491688215737,0.11984368215371255,0.9654699440395199,0.5558416418022184,0.776817390673958
7,0.854006290435791,0.8384232954545454,0.8058020477815699,0.1114103819784525,0.9369671622881937,0.47433912735984934,0.6982298491925696
8,0.847352921962738,0.866642958748222,0.8506108202443281,0.15654351909830932,0.9338137461783893,0.40580801020587287,0.6928113415811834
9,0.8621328473091125,0.874224478285392,0.856117094725214,0.13144709696433834,0.9413478844670456,0.40010217709131257,0.724166042612356
10,0.9040807485580444,0.91327329678935,0.9170434440731275,0.11269397099974561,0.9682501577611877,0.5305060047546671,0.8048380026098757
11,0.9495745301246643,0.9555810836683898,0.9526627218934911,0.05420560747663551,0.9881689360707705,0.6772213631022751,0.8981498125417288
12,0.8589879274368286,0.8288340034462952,0.8266972214265254,0.11858336649423,0.9446774794557273,0.47059857697342045,0.7083927383301485
13,0.9433133602142334,0.9339449541284404,0.9356617647058824,0.05081157374735357,0.9902938063016314,0.5826626822704316,0.8846614030252427
14,0.8782435059547424,0.9115456238361266,0.8679078014184397,0.10844748858447488,0.9535897677224003,0.4233641788082103,0.7542666232466139
15,0.9033361673355103,0.8801597869507324,0.8926401080351114,0.08884501480750247,0.9708569154669247,0.37662533492662437,0.8022650307519872
16,0.9262902736663818,0.9239814055236533,0.9339414040906578,0.08186101295641932,0.975847882365427,0.5954906817155916,0.8523807116183084
17,0.9008649587631226,0.7742504409171076,0.8213283442469598,0.07441860465116279,0.9626482041464529,0.4764260975463872,0.7315797989967819
18,0.9104014039039612,0.9246031746031746,0.9158805031446541,0.09669211195928754,0.9666986733240515,0.5920831989073023,0.8180513904770124
19,0.9663529992103577,0.9703745108999441,0.9639089394780678,0.031066822977725676,0.9922045717730087,0.8432784223803351,0.9326690911646832
20,0.92514967918396,0.946551724137931,0.9258010118043845,0.07579462102689487,0.977446740085018,0.27189141826375457,0.8458354018536678
21,0.8982036113739014,0.875,0.6887550200803213,0.03253652058432935,0.9424477458306,0.4526669644621646,0.7065481420228434
22,0.9070948958396912,0.8764591439688716,0.874757281553398,0.07360185453491741,0.969632975386338,0.46527903165287243,0.8014690672107115
